                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 2.1383,                 1.5919,                  2.265,                0.75054,                0.63144,                0.70999,                0.46912,                 2.3518,                 1.7099,                 2.4238,             0.00045813,             0.00045813,             0.00045813
                     51,                 2.1265,                 1.5879,                 2.2433,                0.70915,                0.64913,                0.70114,                0.46344,                 2.3218,                 1.7555,                 2.4104,             0.00045179,             0.00045179,             0.00045179
                     52,                 2.1256,                 1.5646,                 2.2383,                0.73364,                0.62342,                0.69762,                  0.461,                 2.3207,                 1.7538,                 2.4214,             0.00044544,             0.00044544,             0.00044544
                     53,                 2.1144,                 1.5733,                 2.2414,                0.74717,                0.63292,                0.70711,                0.46764,                 2.3273,                 1.7525,                 2.4196,              0.0004391,              0.0004391,              0.0004391
                     54,                 2.0882,                 1.5241,                 2.2196,                0.75612,                0.62882,                0.70545,                0.46536,                 2.3391,                 1.7268,                 2.4317,             0.00043275,             0.00043275,             0.00043275
                     55,                 2.1147,                 1.5134,                 2.2139,                0.76143,                0.64002,                0.71539,                0.47453,                 2.3245,                  1.701,                 2.4241,             0.00042641,             0.00042641,             0.00042641
                     56,                 2.0709,                 1.4886,                 2.2042,                0.76094,                0.62838,                0.70921,                0.48019,                 2.2859,                 1.6803,                 2.3882,             0.00042007,             0.00042007,             0.00042007
                     57,                 2.0756,                 1.5179,                 2.2023,                0.75702,                0.64752,                0.72057,                0.47829,                 2.2945,                  1.709,                 2.3968,             0.00041372,             0.00041372,             0.00041372
                     58,                 2.0392,                 1.4606,                 2.1947,                0.75419,                0.64596,                0.71784,                0.48144,                 2.2856,                 1.6901,                 2.3732,             0.00040738,             0.00040738,             0.00040738
                     59,                 2.0442,                 1.4753,                  2.186,                0.76307,                0.64157,                0.71867,                0.47684,                 2.3091,                  1.711,                 2.3996,             0.00040103,             0.00040103,             0.00040103
                     60,                 2.0262,                 1.4488,                 2.1848,                 0.7337,                0.65399,                0.71349,                0.47503,                 2.2926,                 1.7034,                 2.4031,             0.00039469,             0.00039469,             0.00039469
                     61,                 2.0154,                 1.4539,                 2.1958,                0.73155,                0.65593,                0.71312,                0.47547,                 2.3057,                 1.6961,                 2.3966,             0.00038835,             0.00038835,             0.00038835
                     62,                 2.0213,                  1.433,                 2.1756,                0.77189,                 0.6375,                0.71582,                0.48129,                 2.2787,                 1.7107,                 2.3798,               0.000382,               0.000382,               0.000382
                     63,                 2.0299,                 1.4046,                 2.1725,                0.73792,                0.66026,                0.71872,                0.48037,                 2.3127,                 1.6767,                 2.4197,             0.00037566,             0.00037566,             0.00037566
                     64,                 2.0008,                 1.3957,                 2.1562,                0.76071,                0.64411,                0.71246,                 0.4786,                 2.2975,                 1.7078,                 2.3958,             0.00036931,             0.00036931,             0.00036931
                     65,                  1.988,                 1.3767,                 2.1592,                0.74037,                0.65243,                0.71044,                0.47305,                 2.2872,                 1.7172,                 2.3898,             0.00036297,             0.00036297,             0.00036297
                     66,                 2.0008,                 1.4049,                 2.1674,                0.71444,                0.67496,                0.71957,                0.48196,                 2.2873,                   1.67,                 2.4005,             0.00035662,             0.00035662,             0.00035662
                     67,                 1.9643,                  1.355,                 2.1446,                0.76942,                 0.6326,                0.72359,                0.49024,                 2.2832,                 1.6723,                 2.3968,             0.00035028,             0.00035028,             0.00035028
                     68,                 1.9581,                  1.364,                 2.1475,                0.73201,                0.65508,                0.71467,                0.48628,                 2.2759,                 1.6764,                 2.3822,             0.00034394,             0.00034394,             0.00034394
                     69,                 1.9282,                 1.3198,                 2.1296,                0.74019,                 0.6531,                0.71499,                0.48792,                 2.2794,                 1.7086,                 2.3902,             0.00033759,             0.00033759,             0.00033759
                     70,                 1.9253,                 1.3271,                 2.1243,                0.76277,                0.64123,                0.72594,                0.48843,                 2.2789,                 1.6654,                 2.3792,             0.00033125,             0.00033125,             0.00033125
                     71,                 1.9122,                 1.2823,                 2.1171,                0.74975,                0.66504,                0.72825,                0.49407,                 2.2843,                  1.645,                 2.4003,              0.0003249,              0.0003249,              0.0003249
                     72,                  1.909,                 1.2953,                 2.1237,                0.77365,                0.66451,                0.73846,                0.49892,                 2.2644,                  1.626,                 2.3782,             0.00031856,             0.00031856,             0.00031856
                     73,                 1.9252,                   1.31,                 2.1113,                0.76499,                0.66977,                0.73343,                0.49588,                 2.2698,                  1.645,                 2.3773,             0.00031221,             0.00031221,             0.00031221
                     74,                 1.8998,                 1.2592,                 2.1081,                0.75762,                0.66094,                0.72387,                0.48803,                 2.2832,                 1.6688,                 2.3964,             0.00030587,             0.00030587,             0.00030587
                     75,                 1.8701,                 1.2433,                 2.0942,                0.78107,                0.65713,                0.73065,                0.49587,                 2.2789,                 1.6597,                 2.3986,             0.00029953,             0.00029953,             0.00029953
                     76,                 1.8884,                 1.2581,                 2.1059,                0.76039,                0.67742,                0.73365,                 0.4957,                 2.2573,                   1.66,                 2.3998,             0.00029318,             0.00029318,             0.00029318
                     77,                 1.8871,                 1.2505,                 2.0959,                0.75188,                0.66557,                 0.7362,                 0.4979,                 2.2649,                 1.6615,                 2.3919,             0.00028684,             0.00028684,             0.00028684
                     78,                 1.8539,                 1.2354,                  2.091,                0.77366,                 0.6688,                0.73291,                0.49358,                 2.2615,                 1.6645,                 2.3929,             0.00028049,             0.00028049,             0.00028049
                     79,                 1.8637,                 1.2271,                 2.0936,                0.76893,                0.67246,                0.73716,                0.49613,                 2.2731,                 1.6174,                 2.4042,             0.00027415,             0.00027415,             0.00027415
                     80,                 1.8352,                 1.2131,                 2.0792,                0.75958,                0.67066,                0.73556,                0.49978,                 2.2518,                 1.6528,                 2.3828,              0.0002678,              0.0002678,              0.0002678
                     81,                 1.8325,                 1.2151,                 2.0847,                0.80283,                0.65917,                0.74371,                0.50354,                 2.2734,                  1.624,                   2.39,             0.00026146,             0.00026146,             0.00026146
